,participant,block_label,trial_block,f_cor,f_inc,cor_option,inc_option,times_seen,rt,accuracy,feedback_type
175,1,3,16,53,37,4,2,9,1.1104190318465044,1,0
176,1,3,17,47,46,4,3,8,1.0623557425478791,1,0
177,1,3,18,36,44,2,1,10,1.163403714699598,1,0
178,1,3,19,45,35,2,1,11,1.2624582801136055,1,0
179,1,3,20,58,34,4,2,11,0.9941952268827664,1,0
180,1,3,21,51,56,4,3,9,1.0702030748980178,0,0
181,1,3,22,43,36,2,1,12,1.4474358440475044,1,0
182,1,3,23,55,50,4,3,10,1.5275144743854985,0,0
183,1,3,24,54,55,4,3,11,1.545770871548484,1,0
184,1,3,25,48,33,3,1,11,1.5210604787316695,1,0
185,1,3,26,30,40,2,1,14,1.290255040007651,1,0
186,1,3,27,53,36,3,1,13,1.6900836206823442,1,0
187,1,3,28,56,50,4,2,15,1.117756748399188,1,0
188,1,3,29,47,42,3,1,14,1.6130527863660973,1,0
189,1,3,30,48,39,4,2,16,1.2276695778136857,1,0
190,1,3,31,56,52,4,3,15,1.8120108217408413,0,0
191,1,3,32,44,34,3,1,15,1.1559885147007662,1,0
192,1,3,33,53,35,3,1,16,1.0926855626157703,1,0
193,1,3,34,44,55,4,3,17,2.336632808334798,1,0
194,1,3,35,45,37,3,1,18,1.070277827650898,1,0
195,1,3,36,62,40,4,2,18,1.4912750908124508,0,0
196,1,3,37,51,45,4,2,19,0.9838697895793302,1,0
197,1,3,38,54,56,4,3,19,2.9751971049172425,1,0
198,1,3,39,52,49,4,3,20,1.0438378814178575,0,0
199,1,3,40,37,26,2,1,19,1.218380438946042,1,0
200,1,3,41,55,44,4,2,21,1.0116819096283507,1,0
201,1,3,42,54,52,4,3,22,1.6127049641972917,0,0
202,1,3,43,40,40,2,1,21,1.0858301549187672,1,0
203,1,3,44,57,42,4,2,23,1.021934983536994,1,0
204,1,3,45,39,32,2,1,22,1.1502718064703004,1,0
205,1,3,46,41,36,2,1,23,1.2411861725840936,1,0
206,1,3,47,48,48,4,3,23,1.0397237493252758,0,0
207,1,3,48,59,51,4,3,24,0.8887658559460759,0,0
208,1,3,49,57,42,4,3,25,1.821864190291308,1,0
209,1,3,50,48,29,3,1,24,1.2899300874023538,1,0
210,1,3,51,52,37,4,2,27,1.1832917016254214,0,0
211,1,3,52,50,39,3,1,25,1.0157868256292204,1,0
212,1,3,53,40,30,3,1,26,1.1371371675468254,1,0
213,1,3,54,60,38,3,1,27,1.0774452171544908,1,0
214,1,3,55,55,34,4,2,28,0.9180890738780364,1,0
215,1,3,56,49,49,4,3,29,1.6542292649864976,0,0
216,1,3,57,46,34,2,1,27,1.5768318349792023,1,0
217,1,3,58,51,39,3,1,29,1.262481832350204,1,0
218,1,3,59,46,28,3,1,30,1.0214274157597174,1,0
219,1,3,60,35,46,2,1,29,1.0007413834646286,1,0
220,1,3,61,57,37,3,1,31,0.9735556163896036,1,0
221,1,3,62,50,52,4,3,32,1.205433876581992,1,0
222,1,3,63,45,36,3,1,33,0.9980318521820664,1,0
223,1,3,64,56,42,4,2,31,1.2201031656250052,1,0
224,1,3,65,32,30,2,1,32,1.2595811524761302,1,0
225,1,3,66,51,41,4,2,32,1.0747274937893962,1,0
226,1,3,67,54,43,3,1,34,1.045806370572791,1,0
227,1,3,68,57,44,4,2,33,1.3635543807495196,1,0
228,1,3,69,38,41,2,1,34,1.0017449135702918,1,0
229,1,3,70,46,47,4,3,35,1.2402754860804637,1,0
230,1,3,71,40,35,2,1,35,1.199654021049355,1,0
231,1,3,72,64,50,4,3,36,1.4033436667350545,1,0
232,1,3,73,38,38,2,1,36,1.2438458686983722,1,0
233,1,3,74,49,36,4,2,37,1.0570831134555192,1,0
234,1,3,75,54,47,4,2,38,0.8723793016115451,1,0
235,1,3,76,50,33,3,1,38,1.1015374490807517,1,0
236,1,3,77,60,33,4,2,39,0.965255330144828,1,0
237,1,3,78,54,38,3,1,39,1.0126711035900369,1,0
238,1,3,79,50,47,4,3,40,1.6465153953131448,1,0
239,1,3,80,48,33,2,1,40,0.962010241468306,1,0
240,2,1,1,52,46,3,1,1,0.88008029554112,0,0
241,2,1,2,55,40,4,2,1,1.3946424810656026,1,0
242,2,1,3,49,41,4,2,2,1.0289004555797874,1,0
243,2,1,4,33,32,2,1,2,1.195417788377199,0,0
244,2,1,5,42,40,2,1,3,1.0515848675468078,0,0
245,2,1,6,42,35,3,1,3,1.055160005693324,0,0
246,2,1,7,54,47,4,3,3,1.5622667618308697,0,0
247,2,1,8,59,38,4,2,4,1.3676217548891143,0,0
248,2,1,9,50,39,2,1,5,1.1369103146862471,0,0
249,2,1,10,58,51,4,3,4,1.1235941709610415,1,0
250,2,1,11,52,40,4,2,6,0.9521800526126754,1,0
251,2,1,12,53,46,4,3,6,1.0910431422980764,0,0
252,2,1,13,39,36,2,1,7,1.2441589977324838,0,0
253,2,1,14,46,33,2,1,8,0.8527865017204022,0,0
254,2,1,15,61,37,4,2,9,1.0244088341478346,1,0
255,2,1,16,48,33,2,1,9,1.0813287608152675,0,0
256,2,1,17,34,42,2,1,10,1.1025884423434036,0,0
257,2,1,18,47,53,4,3,7,1.0758633118939542,1,0
258,2,1,19,50,26,3,1,8,1.1121942794379718,1,0
259,2,1,20,45,41,2,1,12,1.138408090721896,0,0
260,2,1,21,47,29,3,1,10,0.9364482842302096,0,0
261,2,1,22,55,54,4,3,9,0.8511149863961691,1,0
262,2,1,23,50,43,3,1,11,1.0912581830689303,1,0
263,2,1,24,56,41,4,2,12,0.7557447459230389,1,0
264,2,1,25,51,39,4,2,13,0.7525368837586939,0,0
265,2,1,26,60,43,4,3,12,0.9897620113069934,1,0
266,2,1,27,52,39,4,2,15,0.8642877696065625,0,0
267,2,1,28,62,58,4,3,13,0.7647307194620225,1,0
268,2,1,29,50,35,3,1,13,1.0579910345068129,0,0
269,2,1,30,48,40,4,2,16,0.9176858063192412,1,0
270,2,1,31,51,38,3,1,14,1.006944451554773,1,0
271,2,1,32,36,40,2,1,17,0.9662932125274892,0,0
272,2,1,33,45,30,2,1,18,1.10154976128797,1,0
273,2,1,34,55,39,3,1,16,0.9789857380183092,1,0
274,2,1,35,56,40,4,2,18,0.6931009800737229,0,0
275,2,1,36,53,47,4,3,17,1.018977860017003,1,0
276,2,1,37,48,49,4,3,18,0.9755454270216432,1,0
277,2,1,38,60,36,3,1,18,0.7400867058040603,1,0
278,2,1,39,54,35,4,2,20,1.0997529761816622,0,0
279,2,1,40,57,55,4,3,20,0.7292906351112833,0,0
280,2,1,41,44,45,4,3,21,0.7310532867622896,1,0
281,2,1,42,32,34,2,1,21,1.119108352217154,0,0
282,2,1,43,60,43,4,2,23,1.2747756834623942,0,0
283,2,1,44,34,39,2,1,22,0.98482085226442,1,0
284,2,1,45,49,43,4,2,24,1.1136084285062682,1,0
285,2,1,46,54,36,4,2,25,1.3135055502707471,0,0
286,2,1,47,53,30,3,1,21,1.00276378590479,0,0
287,2,1,48,43,38,2,1,25,1.3059009576818426,1,0
288,2,1,49,44,28,3,1,23,1.1320363985523727,1,0
289,2,1,50,56,30,4,2,27,1.5366540407012508,0,0
290,2,1,51,46,37,3,1,24,1.0629195641704428,1,0
291,2,1,52,55,56,4,3,25,1.0144538118020137,0,0
292,2,1,53,48,31,3,1,25,0.9474904571397929,1,0
293,2,1,54,53,44,4,2,28,1.5198443377894364,0,0
294,2,1,55,54,41,3,1,26,1.0605855184721804,1,0
295,2,1,56,41,33,2,1,29,1.576100027409666,0,0
296,2,1,57,38,36,2,1,30,1.11131329494674,1,0
297,2,1,58,58,53,4,3,28,1.3504126905463636,0,0
298,2,1,59,37,37,2,1,31,1.3209084141353742,1,0
299,2,1,60,46,44,4,2,31,1.7177890258890331,0,0
300,2,1,61,35,32,2,1,32,1.327439850877454,1,0
301,2,1,62,51,40,4,3,29,1.3574042462696525,0,0
302,2,1,63,59,48,4,3,30,1.591196572181616,1,0
303,2,1,64,57,52,4,3,31,1.1398133650918678,1,0
304,2,1,65,47,42,2,1,33,1.6026425438703882,1,0
305,2,1,66,50,36,3,1,32,1.1483975878572892,1,0
306,2,1,67,49,34,3,1,33,1.2336066399129777,1,0
307,2,1,68,50,37,4,2,35,1.303979585462912,1,0
308,2,1,69,50,52,4,3,34,1.8047740416432128,1,0
309,2,1,70,64,46,4,2,36,1.2344845523921322,1,0
310,2,1,71,48,38,3,1,34,1.2097357490265497,1,0
311,2,1,72,44,31,3,1,35,1.2495548144042914,1,0
312,2,1,73,51,42,4,2,37,1.4741918648369392,1,0
313,2,1,74,54,56,4,3,37,1.4679761625593528,1,0
314,2,1,75,51,44,3,1,37,1.1039053110634995,1,0
315,2,1,76,52,49,4,3,38,1.3063187511797878,1,0
316,2,1,77,38,37,2,1,38,1.1159653436197914,1,0
317,2,1,78,57,57,4,3,39,1.1633446280939097,0,0
318,2,1,79,45,35,3,1,39,0.9776227891334202,1,0
